contestid,title,sponsor,details,start_time,end_time,amount,repo,findingsRepo,hide,league,repo_exists,repo_type,finding_repo_exists
281,Ondo Finance,Ondo Finance,Institutional-Grade Finance. On-Chain. For Everyone.,Fri Sep 01 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Sep 07 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2023-09-ondo,https://github.com/code-423n4/2023-09-ondo-findings,False,ETH,True,Foundry,True
282,Livepeer Onchain Treasury Upgrade,Livepeer,Decentralized video infrastructure protocol powering video in web3's leading social and media applications.,Thu Aug 31 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Sep 06 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$55,000 USDC",https://github.com/code-423n4/2023-08-livepeer,https://github.com/code-423n4/2023-08-livepeer-findings,False,ETH,True,Foundry,True
284,Delegate,Delegate,Securing onchain identities by linking cold and hot wallets,Tue Sep 05 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Sep 11 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$50,000 USDC",https://github.com/code-423n4/2023-09-delegate,https://github.com/code-423n4/2023-09-delegate-findings,False,ETH,True,Foundry,True
285,Centrifuge,Centrifuge,The institutional ecosystem for on-chain credit.,Fri Sep 08 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Sep 14 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$70,000 USDC",https://github.com/code-423n4/2023-09-centrifuge,https://github.com/code-423n4/2023-09-centrifuge-findings,False,ETH,True,Foundry,True
287,Maia DAO - Ulysses,Maia DAO,"Harnessing the power of Arbitrum, Ulysses Omnichain specializes in Virtualized Liquidity Management.",Fri Sep 22 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Oct 06 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2023-09-maia,https://github.com/code-423n4/2023-09-maia-findings,False,ETH,True,Foundry,True
296,The Wildcat Protocol,Wildcat Protocol,"Banking, but worse - a protocol for fixed-rate, undercollateralised credit facilities.",Mon Oct 16 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Oct 26 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-10-wildcat,https://github.com/code-423n4/2023-10-wildcat-findings,False,ETH,True,Foundry,True
299,Ethena Labs,Ethena Labs,Enabling The Internet Bond,Tue Oct 24 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Oct 30 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2023-10-ethena,https://github.com/code-423n4/2023-10-ethena-findings,False,ETH,True,Foundry,True
301,Party Protocol,PartyDAO,Protocol for group coordination.,Tue Oct 31 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Nov 10 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-10-party,https://github.com/code-423n4/2023-10-party-findings,False,ETH,True,Foundry,True
305,Kelp DAO | rsETH,Kelp DAO,"A collective DAO designed to unlock liquidity, DeFi and higher rewards for restaked assets through liquid restaking.",Fri Nov 10 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Nov 15 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$28,000 USDC",https://github.com/code-423n4/2023-11-kelp,https://github.com/code-423n4/2023-11-kelp-findings,False,ETH,True,Foundry,True
308,Shell Protocol,Shell Protocol,"DeFi made simple. Enjoy powerful one-click transactions, unbeatably capital-efficient AMMs, and a modular developer experience.",Thu Nov 30 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Dec 08 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2023-11-shellprotocol,https://github.com/code-423n4/2023-11-shellprotocol-findings,False,ETH,True,Foundry,True
310,Ethereum Credit Guild,Ethereum Credit Guild,A trust minimized pooled lending protocol.,Mon Dec 11 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Dec 28 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 in USDC",https://github.com/code-423n4/2023-12-ethereumcreditguild,https://github.com/code-423n4/2023-12-ethereumcreditguild-findings,False,ETH,True,Foundry,True
313,INIT Capital Invitational,INIT Capital,"The Liquidity Hook Money Market -- Lend, Borrow, and Access Yield Strategies.",Fri Dec 15 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Dec 21 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$38,500 in USDC",https://github.com/code-423n4/2023-12-initcapital,https://github.com/code-423n4/2023-12-initcapital-findings,False,ETH,True,Foundry,True
325,INIT Capital Invitational,INIT Capital,"The Liquidity Hook Money Market -- Lend, Borrow, and Access Yield Strategies with Liquidity Hook.",Fri Jan 26 2024 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Feb 02 2024 20:00:00 GMT+0000 (Coordinated Universal Time),"$25,000 in USDC",https://github.com/code-423n4/2024-01-init-capital-invitational,https://github.com/code-423n4/2024-01-init-capital-invitational-findings,False,ETH,True,Foundry,True
326,Canto Invitational,Canto,Incentivization Primitive for Real World Assets on Canto.,Thu Jan 25 2024 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Jan 29 2024 20:00:00 GMT+0000 (Coordinated Universal Time),"$16,425",https://github.com/code-423n4/2024-01-canto,https://github.com/code-423n4/2024-01-canto-findings,False,ETH,True,Foundry,True
